,precision,recall,f1-score,support
joy,0.9522445081184336,0.9513358778625954,0.9517899761336516,1048.0
fear,0.8143607705779334,0.8748824082784572,0.8435374149659864,1063.0
anger,0.7054026503567788,0.6528301886792452,0.6780989710926016,1060.0
sadness,0.7319859402460457,0.8017324350336862,0.7652733118971061,1039.0
disgust,0.8038507821901324,0.6454106280193237,0.7159699892818864,1035.0
shame,0.6396989651928504,0.6544754571703562,0.6470028544243578,1039.0
guilt,0.7072515666965085,0.7603464870067372,0.7328385899814471,1039.0
micro avg,0.7637655417406749,0.7633483544995221,0.7635568911350908,7323.0
macro avg,0.764970740482669,0.7630019260072002,0.7620730153967196,7323.0
weighted avg,0.7651707096990468,0.7633483544995221,0.7623575375065609,7323.0
