,precision,recall,f1-score,support
joy,0.9615384615384616,0.9532888465204957,0.9573958831977023,1049.0
fear,0.8284703801945181,0.8789868667917449,0.8529813381884388,1066.0
anger,0.75,0.5660377358490566,0.6451612903225806,1060.0
sadness,0.6691900075700227,0.8508180943214629,0.7491525423728813,1039.0
disgust,0.8735632183908046,0.58743961352657,0.7024841132293472,1035.0
shame,0.6086956521739131,0.6198267564966313,0.614210777300906,1039.0
guilt,0.6888708367181153,0.8161693936477382,0.747136563876652,1039.0
micro avg,0.7586917685859558,0.7535143987989628,0.7560942207614352,7327.0
macro avg,0.7686183652265479,0.753223901021957,0.7526460726412155,7327.0
weighted avg,0.7689915657567568,0.7535143987989628,0.7530145751230355,7327.0
