,precision,recall,f1-score,support
joy,0.9409048938134811,0.9714013346043852,0.9559099437148217,1049.0
fear,0.831390134529148,0.8696060037523452,0.8500687757909215,1066.0
anger,0.6834677419354839,0.6396226415094339,0.6608187134502924,1060.0
sadness,0.7025931928687196,0.8344562078922041,0.7628684557853057,1039.0
disgust,0.7693144722524483,0.6824324324324325,0.7232736572890025,1036.0
shame,0.7039106145251397,0.6063522617901829,0.6514994829369183,1039.0
guilt,0.715370018975332,0.7256977863330125,0.7204968944099379,1039.0
micro avg,0.765496434448711,0.761735807860262,0.7636114911080711,7328.0
macro avg,0.7638501526999646,0.7613669526162852,0.7607051319110285,7328.0
weighted avg,0.7641080270634761,0.761735807860262,0.7610298516352352,7328.0
