,precision,recall,f1-score,support
joy,0.9598086124401913,0.9561487130600572,0.9579751671442216,1049.0
fear,0.8133561643835616,0.8911819887429644,0.8504923903312444,1066.0
anger,0.6716791979949874,0.7584905660377359,0.7124501550731059,1060.0
sadness,0.7164056059356966,0.8371868978805395,0.7721012883163039,1038.0
disgust,0.8669467787114846,0.5986460348162476,0.7082379862700229,1034.0
shame,0.6523476523476524,0.6284889316650626,0.6401960784313725,1039.0
guilt,0.7461139896373057,0.6936416184971098,0.7189216175736396,1038.0
micro avg,0.7692729015473093,0.7670671764063354,0.7681684555958159,7324.0
macro avg,0.7752368573501256,0.7662549643856738,0.7657678118771301,7324.0
weighted avg,0.7752818645192501,0.7670671764063354,0.7662345142561509,7324.0
