class,precision,recall,f1-score,support
joy,0.943820225,0.960915157,0.952290978,1049
fear,0.846014493,0.876172608,0.860829493,1066
anger,0.665505226,0.720754717,0.692028986,1060
sadness,0.67881549,0.860442733,0.758913413,1039
disgust,0.838082902,0.624517375,0.715707965,1036
shame,0.773712737,0.549566891,0.642656162,1039
guilt,0.711802379,0.74879692,0.729831144,1039
micro avg,0.772928177,0.763646288,0.768259198,7328
macro avg,0.779679064,0.763023772,0.764608306,7328
weighted avg,0.779796369,0.763646288,0.765030977,7328
