class,precision,recall,f1-score,support
joy,0.91453831,0.893474088,0.903883495,1042
fear,0.75890411,0.781749765,0.770157553,1063
anger,0.562036055,0.501893939,0.530265133,1056
sadness,0.668644068,0.764534884,0.713381555,1032
disgust,0.704257768,0.591876209,0.643194955,1034
shame,0.578002245,0.496146435,0.533955417,1038
guilt,0.503095975,0.628626692,0.558899398,1034
micro avg,0.666575192,0.665570626,0.66607253,7299
macro avg,0.669925504,0.665471716,0.664819644,7299
weighted avg,0.670171919,0.665570626,0.665009606,7299
