,precision,recall,f1-score,support
joy,0.9406593406593406,0.816793893129771,0.874361593462717,1048.0
fear,0.7815533980582524,0.755868544600939,0.7684964200477327,1065.0
anger,0.5931818181818181,0.4933837429111531,0.5386996904024768,1058.0
sadness,0.4472511144130758,0.8707810993249759,0.5909685863874345,1037.0
disgust,0.6215686274509804,0.611969111969112,0.6167315175097277,1036.0
shame,0.5604963805584281,0.5246853823814134,0.542,1033.0
guilt,0.8037825059101655,0.3281853281853282,0.4660726525017135,1036.0
micro avg,0.6348461856807835,0.6292903049364146,0.6320560362587556,7313.0
macro avg,0.6783561693188659,0.6288095860718131,0.6281900657588289,7313.0
weighted avg,0.6789563329009646,0.6292903049364146,0.6289114527500623,7313.0
