,precision,recall,f1-score,support
joy,0.9418181818181818,0.7602739726027398,0.8413643746616134,1022.0
fear,0.8780487804878049,0.6660175267770204,0.7574750830564784,1027.0
anger,0.7098901098901099,0.31177606177606176,0.43326626425217973,1036.0
sadness,0.6772388059701493,0.7055393586005831,0.6910994764397905,1029.0
disgust,0.8029850746268656,0.5305719921104537,0.6389548693586699,1014.0
shame,0.3364595545134818,0.5583657587548638,0.4198975859546452,1028.0
guilt,0.44584081388390184,0.7268292682926829,0.5526706231454006,1025.0
micro avg,0.6083867372527166,0.608132572065172,0.608259628107807,7181.0
macro avg,0.684611617312928,0.6084819912734865,0.6192468966955398,7181.0
weighted avg,0.6842658803106942,0.608132572065172,0.6188342649826037,7181.0
