model name,template type,precision,recall,f1-score
gpt3,,0.751395758,0.728116573,0.724799739
,template,0.748489204,0.725164404,0.723456708
,fc,0.732978378,0.709742316,0.7041323
,rag,0.749817071,0.726503311,0.722895443
claude,,0.76316421,0.739562484,0.736588808
,template,0.7632065,0.748090079,0.747063251
,fc,0.762163098,0.737807866,0.735020504
,rag,0.762087391,0.738337274,0.735432183
solar,,0.733334446,0.688599254,0.675556616
,template,0.702055796,0.65052976,0.652315138
,fc,0.692232648,0.220628517,0.180251436
,rag,0.734663883,0.690236487,0.677007184
llama,,0.656704261,0.617868743,0.612517685
,template,0.662294864,0.594273093,0.604063992
